Multi Channel Experimenter Spike Analyzer ASCII Export


Instantaneous Parameters:

t	12	12	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	13	13	
	Isi	Frequency	
[s]	[ms]	[Hz]	
15.26100	NaN	NaN	

t	14	14	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	Ref	Ref	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	16	16	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	17	17	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	21	21	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	22	22	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	23	23	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	24	24	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	25	25	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	26	26	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	27	27	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	28	28	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	31	31	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	32	32	
	Isi	Frequency	
[s]	[ms]	[Hz]	
130.42040	NaN	NaN	

t	33	33	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	34	34	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	35	35	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	36	36	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	37	37	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	38	38	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	41	41	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	42	42	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	43	43	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	44	44	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	45	45	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	46	46	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	47	47	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	48	48	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	51	51	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	52	52	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	53	53	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	54	54	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	55	55	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	56	56	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	57	57	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	58	58	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	61	61	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	62	62	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	63	63	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	64	64	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	65	65	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	66	66	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	67	67	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	68	68	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	71	71	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	72	72	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	73	73	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	74	74	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	75	75	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	76	76	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	77	77	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	78	78	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	82	82	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	83	83	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	84	84	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	85	85	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	86	86	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	87	87	
	Isi	Frequency	
[s]	[ms]	[Hz]	


Bined Parameters:

t	12	12	13	13	14	14	Ref	Ref	16	16	17	17	21	21	22	22	23	23	24	24	25	25	26	26	27	27	28	28	31	31	32	32	33	33	34	34	35	35	36	36	37	37	38	38	41	41	42	42	43	43	44	44	45	45	46	46	47	47	48	48	51	51	52	52	53	53	54	54	55	55	56	56	57	57	58	58	61	61	62	62	63	63	64	64	65	65	66	66	67	67	68	68	71	71	72	72	73	73	74	74	75	75	76	76	77	77	78	78	82	82	83	83	84	84	85	85	86	86	87	87	
	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	Frequency	Number	
